id,title,key
1,今天确定要被退学了,b'\xe5\x8f\xaa\xe8\x83\xbd \xe5\xaf\xbc\xe5\xb8\x88 \xe7\x9c\x9f\xe7\x9a\x84 \xe9\xab\x98\xe6\xa0\xa1 \xe4\xb8\x80\xe7\x9b\xb4 \xe5\xbf\x83\xe6\x83\x85 \xe4\xb8\xa2\xe8\x84\xb8 \xe9\x9a\xbe\xe5\x8f\x97 \xe9\x80\x80\xe5\xad\xa6 \xe5\xaf\xb9\xe4\xb8\x8d\xe8\xb5\xb7'
2,有uu喜欢写诗吗,b'\xe5\x96\x9c\xe6\xac\xa2 \xe5\x86\x99\xe8\xaf\x97'
3,如何犒赏自己,b'\xe5\xb0\x9d\xe8\xaf\x95 \xe7\x8a\x92\xe8\xb5\x8f \xe7\x90\x86\xe6\x99\xba \xe7\x94\xa8\xe6\x9d\xa5 \xe6\x97\xa0\xe7\x94\xa8 \xe5\x96\x9c\xe6\xac\xa2 \xe6\x9c\xba\xe4\xbc\x9a \xe5\xa2\x9e\xe5\x8a\xa0 \xe4\xba\x8b\xe6\x83\x85 \xe6\x9a\x82\xe6\x97\xb6'
4,20届985农业类硕士找不到工作的窒息感,b'\xe7\x9c\x9f\xe7\x9a\x84 \xe5\xba\x94\xe5\xb1\x8a\xe7\x94\x9f \xe5\x86\x9c\xe4\xb8\x9a \xe5\x8b\x87\xe6\xb0\x94 \xe5\x87\xba\xe8\xb7\xaf \xe9\x99\x90\xe5\x88\xb6 \xe8\xba\xab\xe4\xbb\xbd \xe4\xb8\x8d\xe5\x88\xb0 \xe6\xa0\xb9\xe6\x9c\xac \xe5\xaf\xb9\xe5\x8f\xa3'
5,有姐妹六月去重庆玩吗！,b'\xe6\x80\xa7\xe6\xa0\xbc \xe7\x8e\xa9\xe5\x84\xbf \xe6\x9c\x89\xe6\xb2\xa1\xe6\x9c\x89 \xe4\xbc\x9a\xe8\xae\xae \xe9\xa1\xba\xe5\xb8\xa6 \xe5\xa7\x90\xe5\xa6\xb9 \xe6\x97\xb6\xe9\x97\xb4 \xe5\xbc\x80\xe4\xbc\x9a \xe8\xa7\x89\xe5\xbe\x97 \xe7\x94\x9c\xe5\xa6\xb9'
6,为什么定稿还要查重啊！,b'\xe5\x9f\xba\xe7\xa1\x80 \xe6\x98\xaf\xe4\xb8\x8d\xe6\x98\xaf \xe7\xbd\x91\xe7\xab\x99 \xe4\xba\xba\xe4\xbb\xac \xe5\x85\x8d\xe8\xb4\xb9 \xe6\x9f\xa5\xe9\x87\x8d \xe5\xae\x9a\xe7\xa8\xbf \xe5\x8e\x9f\xe7\xa8\xbf \xe4\xb8\x8a\xe6\x94\xb9'
7,five大四退学之后重新高考,b'\xe5\xad\xa6\xe4\xb9\xa0 \xe4\xb8\x80\xe7\x9b\xb4 \xe5\xad\xa6\xe6\xa0\xa1 \xe8\xa7\x89\xe5\xbe\x97 \xe5\x90\x8c\xe5\xad\xa6 \xe5\xbf\x83\xe7\x90\x86 \xe5\xba\x94\xe8\xaf\xa5 \xe8\x80\x83\xe8\xaf\x95 \xe5\xad\xa6\xe6\x9c\x9f \xe8\x90\xbd\xe5\xb7\xae'
8,有没有走了异地人才引进事业编的朋友,b'\xe5\x9c\xb0\xe6\x96\xb9 \xe4\xba\xba\xe6\x89\x8d \xe5\xbe\x88\xe8\xbf\x9c \xe5\xbc\x95\xe8\xbf\x9b \xe8\x80\x83\xe7\xbc\x96 \xe5\xae\x9e\xe5\x9c\xa8 \xe6\x89\xbf\xe8\xaf\xba \xe6\x84\x9f\xe8\xa7\x89 \xe6\x88\xbf\xe4\xbb\xb7 \xe4\xb8\x8d\xe6\x83\xb3'
9,求助！三方毁约学校不发新三方怎么办？,b'\xe5\xad\xa6\xe6\xa0\xa1 \xe5\xad\xa6\xe9\x99\xa2 \xe5\xb0\xb1\xe4\xb8\x9a \xe5\xae\xa1\xe6\x89\xb9 \xe9\x80\x9a\xe7\x9f\xa5 \xe9\x99\xa2\xe6\xa0\xa1 \xe7\x84\xa6\xe8\x99\x91 \xe6\x9b\xb4\xe5\xa5\xbd \xe6\xb5\x81\xe7\xa8\x8b \xe8\xbe\x85\xe5\xaf\xbc\xe5\x91\x98'
10,你会真的选择不婚不育吗？还是口嗨而已,b'\xe6\x8a\x95\xe7\xa5\xa8 \xe4\xb8\x8d\xe8\x82\xb2 \xe4\xb8\x8d\xe5\xa9\x9a \xe8\xb7\x9d\xe7\xa6\xbb \xe4\xbc\x9a\xe7\xbb\x93 \xe5\xbc\x95\xe8\xbf\x9b \xe8\xae\xa1\xe5\x88\x92 \xe5\xb0\x8f\xe7\xbb\x84 \xe6\x9c\x89\xe6\xb2\xa1\xe6\x9c\x89 \xe6\x83\xb3\xe6\xb3\x95'
11,five纪录片导演寻广州five拍摄对象，来讲讲故事不,b'\xe5\xaf\xbc\xe6\xbc\x94 \xe6\x8b\x8d\xe6\x91\x84 \xe7\xba\xaa\xe5\xbd\x95\xe7\x89\x87 \xe5\xaf\xb9\xe8\xb1\xa1 \xe5\xa4\x96\xe5\x9c\xb0 \xe6\x95\x85\xe4\xba\x8b \xe6\x9c\x9f\xe5\xbe\x85 \xe7\x95\x99\xe8\xa8\x80 \xe6\xac\xa2\xe8\xbf\x8e \xe7\x8e\xb0\xe7\x8a\xb6'
12,今年毕业，有人推荐去教培吗？,b'\xe6\x95\x99\xe5\x9f\xb9 \xe6\x8e\xa8\xe8\x8d\x90 \xe6\x9c\xba\xe6\x9e\x84 \xe6\xb2\x9f\xe9\x80\x9a \xe7\xaa\x92\xe6\x81\xaf \xe6\x84\x9f\xe8\xa7\x89 \xe7\xa4\xbe\xe6\x81\x90 \xe5\x86\x85\xe5\x90\x91 \xe5\xb8\xa6\xe7\x8f\xad \xe8\xbe\x85\xe5\xaf\xbc\xe5\x91\x98'
13,还有两周开题答辩 本five连个题都还没选出来,b'\xe6\x97\xa0\xe8\x83\xbd\xe4\xb8\xba\xe5\x8a\x9b \xe7\xad\x94\xe8\xbe\xa9 \xe9\x80\x89\xe5\x87\xba \xe5\xb7\xb2\xe7\xbb\x8f \xe5\xbc\x80\xe9\xa2\x98 \xe4\xb8\xaa\xe9\xa2\x98 \xe5\xb4\xa9\xe6\xba\x83'
14,走辅导员保研还是考研,b'\xe8\x80\x83\xe7\xa0\x94 \xe5\xae\xb3\xe6\x80\x95 \xe5\xb7\xa5\xe4\xbd\x9c \xe5\x9d\x9a\xe5\xae\x9a \xe5\xaf\xb9\xe8\xb1\xa1 \xe6\x94\xbf\xe7\xad\x96 \xe7\xa1\xae\xe5\xae\x9a \xe8\xbe\x85\xe5\xaf\xbc\xe5\x91\x98 \xe7\x84\xa6\xe8\x99\x91 \xe4\xbf\x9d\xe7\xa0\x94'
15,答辩问到创新点该怎么回答,b'\xe7\xad\x94\xe8\xbe\xa9 \xe7\xae\x97\xe6\xb3\x95 \xe5\x88\x9b\xe6\x96\xb0 \xe5\x9b\x9e\xe7\xad\x94 \xe6\x8e\xa8\xe5\xaf\xbc \xe5\x85\xac\xe5\xbc\x8f \xe6\x80\x9d\xe8\xb7\xaf \xe7\x82\xb9\xe8\xaf\xa5 \xe6\xaf\x95\xe8\xae\xbe \xe5\xb7\xa5\xe4\xbd\x9c'
